排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,距20EMA%,5日報酬%,淘汰原因
16,3702,大聯大,TWSE,電子通路業,等回測或確認,66.8,97,109.5,109.5,131.85,55.18,2.68,80.68,123.6,3.3,13.86,2.12,3.35,31,155,-389,260,6489,51566,-425,17,-8170,-11101,-16778,112,28,4439,48785,2,3,3066000,2104,1736,35.54,-1494,-9251,-26184,-63689,-1277,-10303,-17277,-62972,48.13,-1.43,2.82,外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
17,2441,超豐,TWSE,半導體業,等回測或確認,66.4,100,126.5,126.5,33.15,21.76,19.56,13.88,325.2,1.4,29.76,3.13,2.16,8,846,930,1658,2644,-9076,427,-3514,-6084,-387,2944,846,1658,2644,-9076,4,1,209737000,-784,-604,11.98,346,606,1314,15446,-3884,-6957,-2425,11978,45.26,-6.14,-12.46,當下除權息調整價未守20日EMA
18,3033,威健,TWSE,電子通路業,等回測或確認,66.4,100,48.8,48.8,54.45,26.2,3.41,78.5,137.52,1.52,20.61,2.46,3.84,4,138,138,138,109,-546,0,-10303,57,1916,8867,138,138,109,-547,1,0,6734400,-814,-827,25.49,-2656,9901,11242,18335,-9623,732,2632,10023,46.53,-3.42,-1.61,當下除權息調整價未守20日EMA
19,2408,南亞科,TWSE,半導體業,等回測或確認,66.2,100,395.5,395.5,621.34,643.12,61.34,19.89,561.77,8.41,39.3,7.05,0.31,33,305,1648,3140,4714,74444,1291,-8664,-43427,-38287,-51492,250,7815,5427,64503,4,1,3090832500,3552,4484,12.89,-19377,-16834,-22099,-90931,-8661,-54792,-48195,-115233,47.1,-6.47,-9.18,外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
20,2880,華南金,TWSE,金融保險業,列入觀察,66.2,100,40.15,40.15,29.2,36.2,,94.52,,0.55,19.03,2.25,3.68,23,12268,15879,21359,32863,143075,2088,19307,37065,59065,64653,11454,11630,13519,117969,4,1,466944500,18857,24770,14.56,7552,4136,5178,-76907,-1225,6579,20776,-84986,64.64,5.26,3.35,
21,2801,彰銀,TWSE,金融保險業,列入觀察,66.2,93,23.9,23.9,9.51,14.62,,93.51,,0.44,14.97,1.25,4.38,17,9760,9599,9573,9434,139454,0,11118,12411,28753,74325,9759,9501,9344,139138,1,4,227073900,285,-343,17.66,3500,6599,8641,-67454,1443,2624,19750,-62297,63.85,2.1,-0.62,
22,2610,華航,TWSE,航運業,等回測或確認,65.9,93,20.75,20.75,28.82,16.09,11.29,70.94,74.06,0.85,8.16,1.24,3.88,16,6407,6656,7487,13966,76968,0,11914,31869,8952,182479,6407,-34991,-28526,34320,2,3,-726063250,359,-2775,15.29,8685,44084,18792,151628,5909,66502,40256,135906,44.75,-3.46,-3.04,投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
23,4904,遠傳,TWSE,通信網路業,等回測或確認,65.6,100,103,103,15.9,10.14,17.63,45.96,92.82,1.03,25.63,3.8,3.77,39,-1574,-3415,3910,21262,155479,384,2832,19879,14714,4920,-1735,1911,17346,151109,2,3,196833000,3485,169,17.72,8652,15970,-14800,-149193,2737,14485,-2799,-151850,53.24,1.84,8.42,ETF 1/3日已轉為減碼；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎
24,6691,洋基工程,TWSE,其他電子業,等回測或確認,65.6,100,704,704,115.19,84.29,15.74,73.14,132.4,7.19,27.94,15.27,2.92,11,57,69,72,1719,3832,24,-372,-580,-1470,-669,57,115,1762,3870,4,1,80960000,13,-5,14.32,-198,-485,-3051,-4170,-415,-710,-3229,-4551,46.58,-3.26,-0.56,外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
25,1590,亞德客-KY,TWSE,電機機械,等回測或確認,65.5,100,1265,1265,44.88,30.08,33.2,17.79,280.31,13.35,29.55,5.31,2.16,17,93,90,114,152,471,15,90,556,910,1706,93,127,161,479,4,0,160655000,-20,-39,80.89,55,531,1135,1497,19,449,787,1311,41.79,-5.77,-1.17,當下除權息調整價未守20日EMA
26,2851,中再保,TWSE,金融保險業,等回測或確認,65.3,100,36,36,6.04,148.43,,60.25,,2.3,7.12,1.25,5.96,2,20,12,293,1147,1282,0,-255,-959,301,-1773,20,293,1147,1282,4,1,10548000,49,-47,8.92,-1630,-1106,565,-2570,-335,-1301,-800,-2526,43.98,-3.9,-4.89,20日趨勢尚未上彎；當下除權息調整價未守20日EMA
27,2006,東和鋼鐵,TWSE,鋼鐵工業,等回測或確認,64.8,100,70.2,70.2,9.01,-1.3,10.22,37.35,152.88,1.66,10.92,1.63,5.94,11,9,732,1143,1791,-28858,-518,739,7411,7690,13340,9,1137,1781,-29037,5,0,79817400,25,16,24.61,2667,7134,5173,41044,736,6249,5892,42505,54.16,0.78,0,累計營收負成長且當月改善不足；主動ETF 5日轉為減碼
28,5388,中磊,TWSE,通信網路業,等回測或確認,64.2,100,83.3,83.3,70.83,58.09,2.94,69.5,131.55,1.01,21.65,1.65,2.89,2,0,0,0,-178,-2286,0,152,6703,11265,3744,0,372,194,-1915,1,0,30987600,170,962,21.8,-992,7390,9568,7881,255,6159,10108,5302,49.05,-0.63,-1.54,當下除權息調整價未守20日EMA
29,1773,勝一,TWSE,化學工業,等回測或確認,64,100,174.5,174.5,20.49,18.72,23.35,32.56,133.33,2.02,25.03,4.59,2.2,2,7,4,4,6,8,0,-125,453,935,889,7,2,3,5,1,3,349000,-2,27,8.13,184,637,1382,1264,-136,453,905,882,48.82,-0.97,0,當下除權息調整價未守20日EMA
30,9938,百和,TWSE,其他,列入觀察,63.9,100,45.85,45.85,21.21,0.03,12.89,53.72,118.79,0.87,13.55,1.08,6.44,3,0,0,0,-34,1650,0,-256,957,1599,1152,0,0,-34,1650,0,0,0,166,163,9.3,394,893,1049,-179,-438,790,1469,-1097,54.63,0.99,-0.65,
31,2892,第一金,TWSE,金融保險業,等回測或確認,63.6,95.6,34.1,34.1,9.73,22.32,,94.22,,0.57,17.41,1.64,3.83,24,9836,11145,12532,35063,312785,0,18609,45993,111379,178639,9310,9847,30587,304013,4,1,335782700,3128,3194,25.26,1723,23666,38582,-129966,7608,33018,77596,-130853,65.73,3.79,1.49,外資持股趨勢資料不足或期間有非市場異動
32,2890,永豐金,TWSE,金融保險業,列入觀察,63.5,100,40,40,50.94,55.23,,92.98,,0.76,19.07,2.18,3.26,29,9942,6852,9576,25067,297936,1633,8709,24964,80232,219262,8954,2228,10631,279125,2,3,89120000,18138,21503,29.26,1807,12859,13181,-69720,-9759,4598,48097,-85401,61.7,2.19,-1.11,
33,6533,晶心科,TWSE,半導體業,列入觀察,63.3,100,210,210,247.04,62.07,-62.19,28.8,595.6,-3.28,,2.65,,1,0,0,0,0,20,0,58,207,30,-69,0,0,0,20,0,0,0,35,30,11.23,120,160,178,255,51,172,-1,-117,50.72,0.76,9.66,
34,2884,玉山金,TWSE,金融保險業,等回測或確認,63.2,97.2,35.1,35.1,25.3,24.84,,93.91,,0.62,15.86,1.98,4.01,28,1585,6483,10902,8544,135271,-56,60479,84156,147206,123122,628,2725,-7005,112380,4,1,95647500,11672,13836,31.04,7602,27895,84260,-67334,53199,69760,140376,-7032,59.35,1.91,1.01,主動ETF 5日轉為減碼；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎
35,2211,長榮鋼,TWSE,鋼鐵工業,等回測或確認,63.1,100,94.2,94.2,47.25,2.08,18.62,20.87,278.83,1.07,11.64,1.46,6.83,4,-6,-11,-11,0,-21,0,-309,-605,-1353,-876,-6,-14,-7,-29,0,4,-1318800,22,56,3.28,-368,-363,-1143,-1715,-297,-613,-1403,-1120,45.25,-0.76,-0.84,ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
36,9958,世紀鋼,TWSE,鋼鐵工業,等回測或確認,63,96.7,111,111,64.09,29.18,28.83,49.86,123.34,2.63,15.11,2.55,3.8,4,5,4,16,63,227,-208,-828,-709,-753,-1866,5,14,61,225,3,1,1554000,49,92,9.67,75,-434,-325,-1896,-769,-773,-908,-2282,43.11,-4.19,-5.13,主動ETF 5日轉為減碼；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
37,8464,億豐,TWSE,居家生活,等回測或確認,62.8,96.8,359,359,11.73,1.69,28.11,34.78,246.69,5.62,16.24,3.85,4.46,11,7,0,63,107,3783,-4,287,801,388,1104,7,62,106,3778,4,1,22258000,9,3,40.57,202,413,-173,-3374,282,731,280,-2680,52.71,0.68,-0.28,主動ETF 5日轉為減碼；外資持股趨勢資料不足或期間有非市場異動
38,5871,中租-KY,TWSE,其他,等回測或確認,62.7,100,119.5,119.5,-0.82,-2,30.94,79.13,112.36,3.26,11.28,1.18,4.98,29,3284,4823,5067,2959,38,-497,4091,13398,10782,3428,3271,5043,2904,-106,5,0,602638500,1092,1328,43.79,3475,6416,10762,11247,641,7261,6550,2083,57.32,2.39,4.37,累計營收負成長且當月改善不足；主動ETF 5日轉為減碼；20日趨勢尚未上彎
39,1723,中碳,TWSE,化學工業,等回測或確認,62.4,100,88.2,88.2,32.12,6.31,14.18,30.11,200.59,0.77,36.17,2.59,2.06,1,0,0,0,-6,-23,0,-89,1592,1782,1923,0,0,-6,-23,0,0,0,14,-27,8.82,632,1683,1330,293,-51,1579,1815,2159,59.72,3.36,4.5,20日趨勢尚未上彎
40,4536,拓凱,TWSE,運動休閒,等回測或確認,62.2,100,165.5,165.5,10.04,-0.91,17.11,33.18,279.74,3.61,12.18,1.62,4.89,2,2,2,3,3,-1,0,367,508,531,1043,2,123,123,119,4,0,20356500,4,5,12.59,-49,-111,-14,390,364,381,404,858,47.26,-1.32,-3.5,ETF加碼，但外資持股5/10日同步下降；當下除權息調整價未守20日EMA
41,5434,崇越,TWSE,電子通路業,等回測或確認,62.1,100,562,562,32.86,20.2,7.72,55.57,130.51,6.86,25.29,6.01,2.25,24,40,80,536,2817,5709,-57,321,1895,1489,3451,362,2348,4630,7507,5,0,1319576000,61,51,30.13,798,-1320,-4241,-3928,-15,-516,-3193,-4089,60.72,6.46,10.41,外資持股5/10日下降，且外資5日賣超
42,1907,永豐餘,TWSE,造紙工業,等回測或確認,61.9,93,28.15,28.15,12.66,4.44,-0.43,46.4,119.9,0.13,20.29,0.6,3.52,3,12,21,105,306,1352,-907,393,4580,6318,10734,12,90,285,1333,4,1,2533500,90,43,12.49,249,2593,5109,4848,445,4402,5992,9344,56.15,2,1.44,主動ETF 5日轉為減碼
43,5534,長虹,TWSE,建材營造,等回測或確認,61.6,100,81.2,81.2,124.21,34.2,8.61,52.34,200.43,0.19,16.67,1.14,6.73,1,0,0,0,0,0,0,555,1399,1870,-176,0,0,0,-250,0,0,0,-8,-267,9.55,170,489,963,-62,584,1407,2137,262,58.34,1.79,2.53,20日趨勢尚未上彎
44,2330,台積電,TWSE,半導體業,等回測或確認,61.4,100,2290,2290,67.87,35.61,58.1,31.5,248.83,22.08,33.21,10.87,0.89,66,2384,4731,8088,13738,18802,-293,-39936,-55026,-81018,-122399,1489,3792,6305,7169,4,1,8683680000,7469,8562,69.51,-4220,-35512,-68448,-125184,-44184,-66287,-95886,-143762,41.18,-4.93,-5.18,主動ETF 5日轉為減碼；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
45,2886,兆豐金,TWSE,金融保險業,列入觀察,61.4,100,47.6,47.6,1.53,19.42,,91.97,,0.63,18.94,1.72,3.76,31,2524,4120,8642,31370,320500,1626,26114,46887,88491,123404,1685,8239,36497,364836,3,2,392176400,17815,24103,19.35,8415,7100,-30373,-291446,15667,20831,27886,-271650,67.73,3.67,1.93,
46,5269,祥碩,TWSE,半導體業,等回測或確認,61.4,100,1435,1435,-22.41,5.4,23.09,10.61,299.01,24.85,18.59,3.04,3,18,109,158,390,1193,2513,28,-30,914,1321,2888,109,390,1193,2513,4,0,559650000,-77,-159,7.68,-87,-80,-89,25,-90,601,287,495,45.65,-3.06,-3.04,ETF加碼，但外資持股5/10日同步下降；當下除權息調整價未守20日EMA
47,6770,力積電,TWSE,半導體業,等回測或確認,61.4,100,68.9,68.9,68.75,37.81,104.82,44.07,311.73,3.36,43.22,3.36,,10,739,934,492,138,1966,-292,-121700,-30316,-91930,-135702,739,11821,8925,14342,2,3,814466900,-1197,-3148,17.34,43039,45023,9047,244567,-115284,-40942,-97707,-149657,44.71,-5.93,-3.09,主動ETF 5日轉為減碼；外資持股趨勢資料不足或期間有非市場異動；當下除權息調整價未守20日EMA
48,8046,南電,TWSE,電子零組件業,等回測或確認,61.3,100,1150,1150,50.03,37.2,12.1,24.86,317.54,2.03,270.13,17.64,0.16,31,338,659,2217,3166,7396,1581,1113,-2669,-1392,25214,77,8174,13782,23636,5,0,9400100000,-203,-596,13.69,-1928,-11472,-17480,-1485,984,-10640,-14577,948,53.24,1.31,-5.35,外資持股5/10日下降，且外資5日賣超
49,1210,大成,TWSE,食品工業,等回測或確認,61.2,100,57.9,57.9,12.17,6.36,4.39,55.28,83.22,0.94,13.91,1.95,5.11,5,-263,349,564,1324,3269,0,1589,2660,3202,10582,-263,556,1314,3259,3,2,32192400,1100,1386,8.41,627,-543,-1993,145,1662,1002,501,5250,59.29,1.86,1.58,ETF加碼，但外資持股5/10日同步下降
50,2527,宏璟,TWSE,建材營造,等回測或確認,61.2,100,48.1,48.1,365.12,2533.23,24.56,35.23,156,3.45,9.77,0.6,3.03,1,78,78,78,78,-11,0,559,3512,4121,6180,78,78,78,-11,1,0,3751800,84,73,44.02,1587,3108,3540,5231,476,3350,3970,6100,80.8,22.41,21.16,外資持股趨勢資料不足或期間有非市場異動；短線過熱或乖離過大；高波動且5日漲幅過大
51,4967,十銓,TWSE,半導體業,列入觀察,61.1,72,209,209,35,67.74,32.12,67.6,163.3,27,5.77,2.7,4.43,2,24,24,144,774,864,0,326,1223,317,-2876,24,144,774,864,2,0,30096000,-213,-578,6.02,56,286,165,-1570,391,1292,121,-2781,,,,
52,3029,零壹,TWSE,資訊服務業,等回測或確認,61,100,102.5,102.5,13.58,9.41,5.61,57.92,157.45,1.77,15.37,3.44,5.26,3,0,1,1,-8,-124,0,616,1896,3504,3682,0,1,-9,-124,1,0,102500,7,-8,4.9,-214,301,1726,1718,615,1887,3519,4540,51.97,0.41,-0.49,20日趨勢尚未上彎
53,2850,新產,TWSE,金融保險業,列入觀察,60.8,100,145,145,3.28,14.4,,62.41,,3.99,10.53,2.13,4.93,4,5,6,6,6,-674,0,-54,301,462,769,5,4,3,-675,2,2,580000,23,-3,11,76,285,531,1851,-59,274,462,1430,52.78,0.37,1.05,
54,8028,昇陽半導體,TWSE,半導體業,列入觀察,60.8,100,315,315,33.62,28.4,25.5,57.58,129.28,1.61,77.43,11.56,0.77,5,86,86,86,263,116,0,2420,5891,8234,8826,596,566,-128,1089,2,2,178290000,-228,-323,27.36,4114,4272,7971,7483,1947,5553,8686,8651,51.2,0.37,0.8,
55,2605,新興,TWSE,航運業,列入觀察,60.7,72,31,31,51.62,32.98,35.32,22.98,186.53,0.66,14.95,1.04,3.2,1,168,168,168,168,168,0,694,6166,9421,-3333,168,162,160,161,1,3,5022000,-118,426,48.13,147,4922,8177,-2087,669,6122,8834,-2542,,,,
56,1232,大統益,TWSE,食品工業,等回測或確認,60.6,100,168.5,168.5,16.3,9.34,8.14,38.02,271.83,2.33,18.73,4.13,4.44,1,27,27,27,27,27,0,-686,347,531,-8,27,26,25,25,1,1,4381000,22,19,3.01,415,1014,1289,927,-724,299,487,-58,83.41,12.29,15.81,短線過熱或乖離過大
57,2305,全友,TWSE,電腦及週邊設備業,等回測或確認,60.2,100,32.15,32.15,142.33,79.62,7.52,21.16,492.74,0.16,127.41,2.97,,1,22,20,20,19,15,0,1552,195,-1397,-386,22,20,19,15,1,1,643000,92,-36,5.94,113,-1816,-2492,-1395,1461,83,-1379,-483,47.02,-7.61,-10.69,ETF加碼，但外資持股5/10日同步下降；當下除權息調整價未守20日EMA
58,6446,藥華藥,TWSE,生技醫療業,等回測或確認,60.2,100,1195,1195,94.88,74.59,40.75,14.06,652.75,5.79,79,13.6,0.2,16,-81,-85,-54,245,832,-178,412,-432,-2292,1273,-83,32,242,1122,3,2,38240000,-2,-57,24.93,-933,-2096,-2891,744,506,-463,-2477,211,49.65,-3.87,-7,20日累積後5日轉為調節；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
59,3022,威強電,TWSE,電腦及週邊設備業,等回測或確認,60.1,100,79.5,79.5,79.97,18.78,2.29,27.05,323.07,0.96,24.02,1.3,4.13,2,0,0,0,0,39,0,38,499,2160,245,0,0,0,39,0,0,0,-50,-19,18.77,-365,-640,1949,590,60,548,2178,197,42.05,-6.3,-10.67,當下除權息調整價未守20日EMA
60,6525,捷敏-KY,TWSE,半導體業,等回測或確認,60,100,172.5,172.5,19.84,15.64,19.12,39.59,183.44,1.62,31.55,5.64,2.61,3,31,30,31,20,-4,0,950,622,1518,3461,31,31,19,-7,2,1,5347500,-35,186,14.63,-346,-629,199,1249,1027,626,1314,3163,52.91,-0.3,-13.53,當下除權息調整價未守20日EMA
61,2542,興富發,TWSE,建材營造,等回測或確認,60,98,43.3,43.3,16.47,461.12,24.17,75.42,144.92,1.15,13.34,1.66,9.23,10,6804,7674,9579,11538,24419,0,3176,3328,15113,12039,6804,9137,11131,23936,5,0,395632100,32,123,8.63,1564,1652,14500,-1700,-3560,-5840,3860,-11529,50.81,-0.34,-0.69,外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
62,1402,遠東新,TWSE,紡織纖維,等回測或確認,59.6,100,27.7,27.7,12.06,5.35,7.99,52.4,105.62,0.61,17.27,0.63,4.5,15,-22,3030,8951,23763,117324,-3359,13619,59245,44298,66911,-22,8921,23717,117283,4,1,247111700,2937,77,14.06,17437,24296,9028,-65928,13672,47387,20502,-50162,49.54,-0.41,0.91,主動ETF 5日轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
63,9939,宏全,TWSE,其他,等回測或確認,59.6,100,125.5,125.5,12.13,3.43,13.21,59.36,103.23,2.25,13.91,1.95,4.94,8,120,121,133,158,548,-80,970,2869,5721,625,170,182,207,599,4,0,22841000,97,11,13.92,-7,1745,4468,-602,814,2592,5504,-51,49.17,-0.08,2.45,主動ETF 5日轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
64,2646,星宇航空,TWSE,航運業,等回測或確認,59.4,93,21.2,21.2,40.81,30,9.87,78.34,92.65,0.3,239.44,2.03,,3,0,9,104,461,1771,-1662,1668,8428,10796,16376,0,94,446,1757,3,1,1992800,286,203,3.09,1260,3471,5381,6294,1670,8049,10148,14337,51.88,0.13,0.24,主動ETF 5日轉為減碼
65,4551,智伸科,TWSE,汽車工業,等回測或確認,59.2,100,188,188,30.66,18.75,15.27,37.46,218.37,2.7,29.69,2.55,2.12,2,130,183,183,183,124,92,327,1252,1139,2828,130,138,-534,-1304,2,1,25944000,-62,-77,58.65,21,1151,1316,4170,212,1176,1750,4166,60.62,11.76,12.57,高波動且5日漲幅過大
66,1714,和桐,TWSE,化學工業,等回測或確認,59.1,100,15.3,15.3,73.41,58.4,6.87,29.31,345.88,0.23,25.31,1.25,1.11,1,115,115,115,115,118,0,7884,3444,-62085,-49069,115,115,115,118,1,0,1759500,-605,-1720,18.16,1306,-7382,-65636,-58043,7786,3934,-60480,-48919,42.95,-11.45,-11.3,ETF加碼，但外資持股5/10日同步下降；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
67,4916,事欣科,TWSE,電腦及週邊設備業,等回測或確認,59.1,100,102,102,80.52,48.63,6.95,28.74,303.3,4.49,19.7,3.74,0.45,1,36,36,36,36,36,0,-967,-2459,-4551,-11949,36,36,36,36,1,0,3672000,36,3,6.27,-302,-1593,-9653,-11489,-883,-2531,-4591,-12049,81.58,31.26,37.1,外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；短線過熱或乖離過大；高波動且5日漲幅過大
68,1795,美時,TWSE,生技醫療業,等回測或確認,59,93,188,188,225.46,84.17,22.66,77.65,159.47,2.18,13.51,2.17,1.36,2,0,1,12,47,16,-182,-450,-1250,-1394,-2442,0,10,45,14,3,1,1880000,-214,-90,51.96,-155,-670,-149,-826,-366,-1045,-1348,-2292,41.45,-4.72,-7.84,主動ETF 5日轉為減碼；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
69,8016,矽創,TWSE,半導體業,等回測或確認,58.7,100,286,286,26.61,28.95,11.53,34.06,215.56,4.6,18.53,3.03,3.9,13,90,70,347,639,-174,-254,301,-122,3997,7115,90,277,567,-246,3,2,79222000,-252,-202,43.33,-150,-322,2636,8195,221,-147,3629,7373,40.43,-9.46,-21.21,當下除權息調整價未守20日EMA
